OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
393,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,18 BRITANNIA AVE  HAMILTON ON,2022/12/31 00:00:00+00,15 104589 07 1R,Public Garage
394,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,70 HOPE AVE  HAMILTON ON,2022/12/31 00:00:00+00,15 104593 07 1R,Public Garage
395,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,140 KING WILLIAM ST  HAMILTON ON,2022/12/31 00:00:00+00,15 104594 07 1R,Public Garage
396,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,171 MAIN ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104595 07 1R,Public Garage
397,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,293 KING ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104600 07 1R,Public Garage
398,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,584 UPPER WELLINGTON ST  HAMILTON ON,2022/12/31 00:00:00+00,15 104601 07 1R,Public Garage
399,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,1457 MAIN ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104603 07 1R,Public Garage
400,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,96 JAMES ST N  HAMILTON ON,2022/12/31 00:00:00+00,15 104606 07 1R,Public Garage
401,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,53 BALMORAL AVE N  HAMILTON ON,2022/12/31 00:00:00+00,15 104607 07 1R,Public Garage
402,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,1358 MAIN ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104609 07 1R,Public Garage
403,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,1203 MAIN ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104610 07 1R,Public Garage
404,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,552 UPPER JAMES ST  HAMILTON ON,2022/12/31 00:00:00+00,15 104611 07 1R,Public Garage
405,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,1375 MAIN ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104612 07 1R,Public Garage
406,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,451 KING ST W  HAMILTON ON L8S 1B8,2022/12/31 00:00:00+00,15 104613 07 1R,Public Garage
407,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,255 EAST AVE N  HAMILTON ON,2022/12/31 00:00:00+00,15 104616 07 1R,Public Garage
408,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,15 BRUCEDALE AVE W  HAMILTON ON,2022/12/31 00:00:00+00,15 104617 07 1R,Public Garage
409,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,1503 MAIN ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104618 07 1R,Public Garage
410,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,8 EAST 21ST ST  HAMILTON ON,2022/12/31 00:00:00+00,15 104619 07 1R,Public Garage
411,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,22 MULBERRY ST  HAMILTON ON,2022/12/31 00:00:00+00,15 104620 07 1R,Public Garage
412,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,80 MAIN ST W  HAMILTON ON,2022/12/31 00:00:00+00,15 104621 07 1R,Public Garage
413,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,299 BALMORAL AVE N  HAMILTON ON,2022/12/31 00:00:00+00,15 104623 07 1R,Public Garage
414,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,71 MAIN ST W  HAMILTON ON L8P 4Y5,2022/12/31 00:00:00+00,15 104624 07 1R,Public Garage
415,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,268 KENILWORTH AVE N  HAMILTON ON,2022/12/31 00:00:00+00,15 104647 07 1R,Public Garage
416,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,346 BARTON ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104648 07 1R,Public Garage
417,D - Parking Lot,HAMILTON MUNICIPAL PARKING SYSTEM,540 BARTON ST E  HAMILTON ON,2022/12/31 00:00:00+00,15 104649 07 1R,Public Garage
