OBJECTID,LICENSE_NUMBER,LICENSE_TYPE,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE
98,14 270683 07 1K,Food Shop,Basic,2533709 ONTARIO INC O/A CORNER STORE,2666 REGIONAL ROAD 56  GLANBROOK ON L0R 1C0,2022/05/19 00:00:00+00
99,17 292127 04 1K,Food Shop,Basic,2562096 ONTARIO INC O/A BOOSTER JUICE,1685 MAIN ST W  HAMILTON ON L8S 1G5,2022/05/08 00:00:00+00
100,19 296827 02 1K,Food Shop,Basic,2563372 ONTARIO INC O/A BUSY BEE FOODMART,1032 UPPER WELLINGTON ST  HAMILTON ON L9A 3S3,2022/11/13 00:00:00+00
101,17 292698 04 1K,Food Shop,Basic,2572020 ONTARIO INC O/A STEELTOWN GARAGE CO,302 JAMES ST N  HAMILTON ON,2022/08/24 00:00:00+00
102,17 292350 04 1K,Food Shop,Basic,2575728 ONTARIO INC O/A MAVES VARIETY,227 JAMES ST N  HAMILTON ON L8R 2L2,2022/06/08 00:00:00+00
103,20 298129 01 1K,Food Shop,Basic,2596064 ONTARIO INC O/A THE PALE BLUE DOT SHOP,240 JAMES ST N  HAMILTON ON,2022/10/08 00:00:00+00
104,17 293430 04 1K,Food Shop,Basic,2605763 ONTARIO INC. O/A BIG BEE CONVENIENCE,66 MALL RD  HAMILTON ON L8V 5B9,2022/12/22 00:00:00+00
105,18 294540 03 1K,Food Shop,Basic,2633073 ONTARIO INC. O/A BIG BEAR FOOD MART,45 KENILWORTH AVE N  HAMILTON ON,2022/08/07 00:00:00+00
106,19 295970 02 1K,Food Shop,Basic,2634550 ONTARIO INC O/A HEALTHY PLANET - ANCASTER,821 GOLF LINKS RD  ANCASTER ON,2022/05/09 00:00:00+00
107,18 294763 03 1K,Food Shop,Basic,2650828 ONTARIO LTD O/A HUNG CHEUNG TRADING,95 MACNAB ST N  HAMILTON ON L8R 2L9,2022/08/29 00:00:00+00
108,20 298329 01 1K,Food Shop,Bake Shop,2651017 ONTARIO INC O/A SHIRES BAKERY ,15 LYNDHURST ST  HAMILTON ON,2022/11/03 00:00:00+00
109,19 295514 02 1K,Food Shop,Basic,2654759 ONTARIO INC,440 CANNON ST E  HAMILTON ON,2022/03/06 00:00:00+00
110,19 296840 01 1K,Food Shop,Basic,2658645 ONTARIO INC O/A CUCINA FRESCA,455 BARTON ST  STONEY CREEK ON,2022/02/12 00:00:00+00
