licence number,establishment name,location address line 1,location address line 2,location address  city,location postal code,licence type,licence subtype,capacity
304401,The Capitol Theatre,4904 Argyle Street,,PORT ALBERNI,V9Y1V7,Liquor Primary,,210
307399,The Captain's Boil,3250 Cambie St,,VANCOUVER,V5Z2W4,Food Primary,,78
130351,The Captain's Boil,3309 Kingsway,,VANCOUVER,V5R5K6,Food Primary,,60
303675,The Captain's Boil ,1226 - 8338 Capstan Way,,RICHMOND,V6X4B5,Food Primary,,96
302654,The Cascade Room,2616 Main St,,VANCOUVER,V5T3E6,Food Primary,,
195386,The Cask and Barrel Liquor Store,107 - 1135 Stevens Road,,KELOWNA,V1Z2S8,Licensee Retail Store,,
306082,The Castle Neighbourhood Grill,101 - 319 Governors Court,,NEW WESTMINSTER,V3L5S5,Food Primary,,102
304794,The Cattlemen's Club Restaurant,9380 Hwy 97 N.,,VERNON,V1H1W9,Food Primary,,150
306043,The Cellar Wine Bar & Kitchen,412 Main Street,,PENTICTON,V2A5C6,Liquor Primary,,111
303732,The Chalet (Kitimat),852 Tsimshian Blvd,,KITIMAT,V8C1T5,Food Primary,,298
301177,The Charlatan,1447 Commercial Dr.,,VANCOUVER,V5L3X8,Food Primary,,134
307121,The Chase Wines,2290 Goldie Road,,LAKE COUNTRY,V4V1G5,Manufacturer,Winery,0
306337,The Chef Sushi,21 - 20811 Fraser Highway,,LANGLEY,V3A4G7,Food Primary,,38
108290,The Chili House,2445 Burrard Street,,VANCOUVER,V6J3J3,Food Primary,,46
306533,The Chopped Leaf,142 - 1876 Cooper Road,,KELOWNA,V1Y9N6,Food Primary,,54
300026,The Club,3240 Village Way,,SUN PEAKS,V0E1Z0,Liquor Primary,,225
304519,The Coast Tsawwassen Inn,1665 56th Street,,DELTA,V4L2B2,Food Primary,,418
300504,The Coastal Kitchen Cafe,Parkinson Road,,PORT RENFREW,V0S1K0,Food Primary,,96
302593,The Commodore,369 Victoria Street,,KAMLOOPS,V2C2A3,Liquor Primary,,107
300564,The Commodore ,870 GRANVILLE STREET,Main Floor,VANCOUVER,V6Z1K3,Liquor Primary,,85
307008,The Convenient Chef,5830 Ash Ave,,POWELL RIVER,V8A4R4,Catering,,
306635,The Copper Coil Still and Grill,37996 Cleveland Ave,,SQUAMISH,V8B0S8,Food Primary,,96
305204,The Copper Pig BBQ House,363 George St,,PRINCE GEORGE,V2L1R4,Food Primary,,100
149027,The Coquitlam Grill,#108 - 2635 Barnet Hwy.,,COQUITLAM,V3E1K9,Food Primary,,199
007844,The Corner Lounge,121 Bastion Street,,NANAIMO,V9R3A2,Liquor Primary,,50
305173,The Corner Stone,1096 22nd St W,,NORTH VANCOUVER,V7P2E5,Food Primary,,46
067971,The Cove,16540 Sunshine Coast Highway,,EARL'S COVE,V0N2H4,Food Primary,,50
036372,The Cove Neighbourhood Pub ,3681 West  4th Avenue,,VANCOUVER,V6R1P2,Liquor Primary,,101
300476,The Cove Restaurant,1611 Forrest Road,,CORTES ISLAND,V0P1T0,Food Primary,,110
140883,The Cozy Place Restaurant,1692 DOUGLAS ST,,VICTORIA,V8W2G6,Food Primary,,43
305845,The Crab King,3540 Bayview St,,RICHMOND,V7E4R7,Food Primary,,58
300057,The Crabapple Cafe,41701 Government Road,,BRACKENDALE,V0N1H0,Food Primary,,95
305158,The Crooked Goose Bistro,4136 Wilkinson Rd,,VICTORIA,V8Z5A7,Food Primary,,127
195241,The Crossings Liquor Store,102- 1789 K.L.O. Road,,KELOWNA,V1W3P3,Licensee Retail Store,,
163848,The Crossroads Pub and Restaurant,1582 Sayward Road,,SAYWARD,V0P1R0,Liquor Primary,,83
306212,The Curious Artistry & Alchemy Cafe,1423 Ellis Street,,KELOWNA,V1Y2A3,Food Primary,,112
097477,The Curry Pot Indian & Nepalese Cuisine,3007 30TH AVE,,VERNON,V1T2C1,Food Primary,,100
307416,The Daily Catch ,1059 Denman Street,,VANCOUVER,V6G2N7,Food Primary,,25
108766,The Dancing Pig,4866 Delta Street,,DELTA,V4K2T8,Food Primary,,113
302281,The Den,123 Shortt Street,Lower Level,SILVER STAR MOUNTAIN,V1B3M1,Food Primary,,102
303495,The Diamond Restaurant,6 Powell St,,VANCOUVER,V6A1E7,Food Primary,,106
300022,The Dime Roadhouse,1017 GRANVILLE ST,,VANCOUVER,V6Z1L4,Food Primary,,76
072390,The Dime Roadhouse,1565 - 1567 COMMERCIAL DR,,VANCOUVER,V5L3Y1,Food Primary,,48
307002,The Dirty Apron,540 Beatty St,,VANCOUVER,V6B2L3,Food Primary,,32
078831,The Dirty Jersey,1200 8th Street,,KAMLOOPS,V2B2Y4,Liquor Primary,,150
158644,The Dirty Jersey,1200 8th Street,,KAMLOOPS,V2B2Y4,Food Primary,,110
114895,The Dirty Penny,1601 COMMERCIAL DR,,VANCOUVER,V5L3Y3,Liquor Primary,,169
305374,The Distillery Bar,1131 Mainland Street,,VANCOUVER,V6B5P2,Liquor Primary,,149
301364,The District,13 Lonsdale Ave,,NORTH VANCOUVER,V7M2E4,Food Primary,,108
307370,The Dollarton Crab Shop ,121 2455 Dollarton Hwy,,NORTH VANCOUVER,V7A0A2,Food Primary,,16
120668,The Dorchester,70 Church St.,,NANAIMO,V9R5H4,Food Primary,,464
157808,The Dorchester,70 Church St.,,NANAIMO,V9R5H4,Liquor Primary,,40
306040,The Drake Eatery,146-560 Johnson St,,VICTORIA,V8W3C6,Food Primary,,178
304932,The Drive Coffee Bar,1670 Commercial Dr,,VANCOUVER,V5L3Y4,Food Primary,,41
306281,The Dubh Glas Distillery,8486 Gallagher Lake Frontage Road,,OLIVER,V0H1T2,Manufacturer,Distillery,0
167968,The Duke Saloon,502 Discovery Street,,VICTORIA,V8T1G8,Liquor Primary,,293
115731,The Dunbar Public House,4497 Dunbar Street,,VANCOUVER,V6S2G4,Food Primary,,84
307205,The Eastwood,4245 Fraser St,,VANCOUVER,V5V4G1,Food Primary,,59
302652,The Edge Cafe,2450 Yukon Street,,VANCOUVER,V5Y0A4,Food Primary,,67
301951,The Elephant's Ear,4613 Lakelse Ave,,TERRACE,V8G1P9,Food Primary,,94
302191,The Elkhorn Cabin,2024 Summit Drive,,PANORAMA,V0A1T0,Food Primary,,49
300824,The Ellis,2204 York Ave,,VANCOUVER,V6K1C6,Liquor Primary,,120
305578,The Emerald,555 Gore Ave,,VANCOUVER,V6A2Z6,Food Primary,,184
307286,The Explorers Society Hotel,109 1st St W,PO Box 950,REVELSTOKE,V0E2S0,Food Primary,,485
141672,The Fairmont Waterfront,900 Canada Place Way,,VANCOUVER,V6C3L5,Liquor Primary,,50
141688,The Fairmont Waterfront,900 Canada Place Way,,VANCOUVER,V6C3L5,Food Primary,,
172009,The Falls Golf Club,8341 Nixon Rd,,CHILLIWACK,V4Z1L3,Food Primary,,265
303528,The Falls Golf Club,8341 Nixon Rd,,CHILLIWACK,V4Z1L3,Liquor Primary,,2
305819,The Farm Table,1843 Tzouhalem Road,,DUNCAN,V9L5L6,Food Primary,,100
032116,The Farrier,5512 Park Drive,,100 MILE HOUSE,V0K2E1,Liquor Primary,,75
304973,The Fat Cow and Oyster Bar,20178 96th Ave,Building 1 Unit 4,LANGLEY,V1M0B2,Food Primary,,85
015641,The Fernie Hotel,691 1st Avenue,,FERNIE,V0B1M0,Liquor Primary,,160
302212,The Fernwood Inn,1302 Gladstone Ave.,,VICTORIA,V8R1S1,Food Primary,,136
192931,The Fin Liquor Store,225 - 7115  138th Street,,SURREY,V3W7T9,Licensee Retail Store,,
160449,The Final Approach,1000 RAVENSBOURNE LANE,,QUALICUM BEACH,V9K1P9,Food Primary,,62
302020,The Firehall Bistro,104-19237 122A Avenue,,PITT MEADOWS,V3Y2T1,Food Primary,,50
300623,The Firehall Bistro,6077 Main St.,,OLIVER,V0H1T0,Food Primary,,145
300842,The Firehall Brewery BP ,6077 Main St,,OLIVER,V0H1T0,Liquor Primary,,101
303537,The Firepit BBQ and Smokehouse,1105 Trans Canada Highway,,GOLDEN,V0A1H0,Food Primary,,190
305850,The Five & Dime Diner,3 - 2305 Beacon Avenue,,SIDNEY,V8L1W9,Food Primary,,49
